,,,,,,"Trumpet = B, Trombone = C, Euphonium = D, Tuba = E, French Horn = F"
C7,,,,,,
B#6,,,,,,
C&6,,,,,,
B6,,,,,,
B&6,,,,,,
A#6,,,,,,
A6,,,,,,
A&6,,,,,,
G#6,,,,,,
G6,,,,,,
G&6,,,,,,
F#6,,,,,,
F6,1,,,,,
E#6,1,,,,,
F&6,OPEN,,,,,
E6,OPEN,,,,,
E&6,2,,,,,
D#6,2,,,,,
D6,OPEN,,,,,
D&6,2,,,,,
C#6,2,,,,,
C6,OPEN,,,,OPEN,
B#5,OPEN,,,,OPEN,
C&5,2,,,,2,
B5,2,,,,2,
B&5,1,,,,1,
A#5,1,,,,1,
A5,3,,,,12,
A&5,23,,,,23,
G#5,23,,,,23,
G5,OPEN,,,,OPEN,
G&5,2,,,,2,
F#5,2,,,,2,
F5,1,,OPEN,,1,
E#5,1,,OPEN,,1,
F&5,OPEN,,2,,OPEN,
E5,OPEN,,2,,OPEN,
E&5,2,,1,,2,
D#5,2,,1,,2,
D5,1,,OPEN,,OPEN,
D&5,3,,2,,2,
C#5,3,,2,,2,
C5,OPEN,1,OPEN,,OPEN,
B#4,OPEN,1,OPEN,,OPEN,
C&4,2,2,2,,2,
B4,2,2,2,,2,
B&4,1,1,OPEN,OPEN,1,
A#4,1,1,OPEN,OPEN,1,
A4,3,2,2,2,12,
A&4,23,3,1,1,23,
G#4,23,3,1,1,23,
G4,OPEN,2,12,12,OPEN,
G&4,2,3,23,23,2,
F#4,2,3,23,23,2,
F4,1,1,OPEN,OPEN,1,
E#4,1,1,OPEN,OPEN,1,
F&4,3,2,2,2,OPEN,
E4,3,2,2,2,OPEN,
E&4,23,3,1,1,2,
D#4,23,3,1,1,2,
D4,13,1,OPEN,OPEN,1,
D&4,123,2,2,2,12,
C#4,123,2,2,2,12,
C4,OPEN,3,1,1,OPEN,
B#3,OPEN,3,1,1,OPEN,
C&3,2,4,12,12,2,
B3,2,4,12,12,2,
B&3,1,1,OPEN,OPEN,1,
A#3,1,1,OPEN,OPEN,1,
A3,12,2,2,2,12,
A&3,23,3,1,1,23,
G#3,23,3,1,1,23,
G3,13,4,3,12,OPEN,
G&3,123,5,23,23,2,
F#3,123,5,23,23,2,
F3,1,1,OPEN,OPEN,1,
E#3,1,1,OPEN,OPEN,1,
F&3,12,2,2,2,,
E3,12,2,2,2,,
E&3,23,3,1,1,,
D#3,23,3,1,1,,
D3,13,4,3,OPEN,,
D&3,123,5,23,2,,
C#3,123,5,23,2,,
C3,OPEN,6,4,1,,
B#2,,6,4,1,,
C&2,,7,24,12,,
B2,,7,24,12,,
B&2,,1,OPEN,OPEN,,
A#2,,1,OPEN,OPEN,,
A2,,2,2,2,,
A&2,,3,1,1,,
G#2,,3,1,1,,
G2,,4,3,12,,
G&2,,5,23,23,,
F#2,,5,23,23,,
F2,,6,4,OPEN,,
E#2,,6,4,OPEN,,
F&2,,7,24,2,,
E2,,7,24,2,,
E&2,,T3,14,1,,
D#2,,T3,14,1,,
D2,,T4,234,12,,
D&2,,T5,134,23,,
C#2,,T5,134,23,,
C2,,T6,1234,4,,
B#1,,,,4,,
C&1,,,,24,,
B1,,,,24,,
B&1,,,,OPEN,,
A#1,,,,OPEN,,
A1,,,,2,,
A&1,,,,1,,
G#1,,,,1,,
G1,,,,12,,
G&1,,,,23,,
F#1,,,,23,,
F1,,,,4,,
E#1,,,,4,,
F&1,,,,24,,
E1,,,,24,,
E&1,,,,124,,
D#1,,,,124,,
D1,,,,234,,
D&1,,,,134,,
C#1,,,,134,,
C1,,,,1234,,